user_pseudo_id,total_events,page_views,scrolls,engagements,sessions,device,country,active_days,engagement_rate,scroll_rate,session_rate
1026454.427,7,2,1,1,1,mobile,United States,1,0.14285714285714285,0.5,0.14285714285714285
1029692.955,5,2,0,1,1,mobile,United States,1,0.2,0.0,0.2
1031480.826,5,2,0,1,1,desktop,United States,1,0.2,0.0,0.2
1034924.613,4,2,0,0,1,mobile,United States,1,0.0,0.0,0.25
1037360.494,5,2,0,0,1,desktop,Canada,1,0.0,0.0,0.2
1037755.388,8,3,0,2,1,mobile,United States,1,0.25,0.0,0.125
1044444.378,26,10,4,7,1,mobile,United States,1,0.2692307692307692,0.4,0.038461538461538464
1059953.464,12,4,2,3,1,mobile,France,1,0.25,0.5,0.08333333333333333
1069458.592,4,2,0,0,1,mobile,China,1,0.0,0.0,0.25
1070234.65,5,2,0,1,1,desktop,United States,1,0.2,0.0,0.2
1095407.761,4,2,0,0,1,mobile,Norway,1,0.0,0.0,0.25
1101008.727,5,2,0,1,1,desktop,Australia,1,0.2,0.0,0.2
1104658.179,5,2,0,1,1,desktop,China,1,0.2,0.0,0.2
1106781.137,3,1,0,0,1,mobile,United States,1,0.0,0.0,0.3333333333333333
1114805.968,9,4,0,1,1,mobile,India,1,0.1111111111111111,0.0,0.1111111111111111
1138235.098,27,10,4,6,1,mobile,United States,1,0.2222222222222222,0.4,0.037037037037037035
1147925.544,5,2,0,0,1,mobile,Japan,1,0.0,0.0,0.2
1173058.127,12,6,1,1,2,desktop,United States,1,0.08333333333333333,0.16666666666666666,0.16666666666666666
1189219.245,7,2,1,1,1,desktop,United Kingdom,1,0.14285714285714285,0.5,0.14285714285714285
1221278.918,27,6,3,6,1,mobile,Brazil,1,0.2222222222222222,0.5,0.037037037037037035
1221511.432,2,1,0,0,0,desktop,United States,1,0.0,0.0,0.0
1238287.352,4,2,0,0,1,mobile,United States,1,0.0,0.0,0.25
1241994.897,5,2,0,1,1,desktop,United States,1,0.2,0.0,0.2
1249176.844,6,2,1,1,1,desktop,Japan,1,0.16666666666666666,0.5,0.16666666666666666
1250087.634,5,2,0,0,1,mobile,Canada,1,0.0,0.0,0.2
1252858.826,5,2,0,1,1,desktop,Japan,1,0.2,0.0,0.2
1275618.955,8,3,0,2,1,mobile,Italy,1,0.25,0.0,0.125
1292144.125,5,2,0,1,1,mobile,United States,1,0.2,0.0,0.2
1299518.434,3,1,0,0,1,mobile,United States,1,0.0,0.0,0.3333333333333333
1301187.351,11,4,2,3,1,mobile,Ireland,1,0.2727272727272727,0.5,0.09090909090909091
1307513.483,5,2,0,1,1,desktop,Singapore,1,0.2,0.0,0.2
1309660.808,6,2,1,1,1,mobile,(not set),1,0.16666666666666666,0.5,0.16666666666666666
1313458.809,2,0,0,1,1,desktop,United States,1,0.5,,0.5
1314155.674,5,2,0,0,1,desktop,United States,1,0.0,0.0,0.2
1321034.365,7,2,1,1,2,desktop,United States,1,0.14285714285714285,0.5,0.2857142857142857
1331895.87,4,2,0,0,1,mobile,Greece,1,0.0,0.0,0.25
1336769.849,9,3,1,2,1,mobile,Pakistan,1,0.2222222222222222,0.3333333333333333,0.1111111111111111
1341927.798,7,3,1,1,1,desktop,Canada,1,0.14285714285714285,0.3333333333333333,0.14285714285714285
1342438.324,6,2,0,1,1,desktop,(not set),1,0.16666666666666666,0.0,0.16666666666666666
1356011.017,12,4,0,3,1,mobile,Serbia,1,0.25,0.0,0.08333333333333333
1356281.184,6,2,1,0,1,mobile,India,1,0.0,0.5,0.16666666666666666
1377531.893,6,2,1,1,1,desktop,United States,1,0.16666666666666666,0.5,0.16666666666666666
1378748.034,6,3,0,1,1,desktop,Japan,1,0.16666666666666666,0.0,0.16666666666666666
1397226.699,4,2,0,0,1,desktop,United Kingdom,1,0.0,0.0,0.25
1414481.406,6,2,0,1,1,desktop,United States,1,0.16666666666666666,0.0,0.16666666666666666
1415563.592,5,2,0,0,1,desktop,Canada,1,0.0,0.0,0.2
1431134.346,3,1,0,0,1,mobile,United States,1,0.0,0.0,0.3333333333333333
1434030.739,4,2,0,0,1,mobile,India,1,0.0,0.0,0.25
1441201.157,6,2,0,1,1,desktop,Italy,1,0.16666666666666666,0.0,0.16666666666666666
1444561.565,5,2,0,1,1,desktop,Hungary,1,0.2,0.0,0.2
1446278.103,3,2,0,0,1,desktop,Taiwan,1,0.0,0.0,0.3333333333333333
1446815.883,4,2,0,0,1,desktop,France,1,0.0,0.0,0.25
1452608.317,3,1,0,0,1,desktop,United States,1,0.0,0.0,0.3333333333333333
1455782.261,8,3,1,1,1,desktop,United States,1,0.125,0.3333333333333333,0.125
1470160.706,12,8,0,2,1,mobile,Tunisia,1,0.16666666666666666,0.0,0.08333333333333333
1471469.211,5,2,0,1,1,desktop,Spain,1,0.2,0.0,0.2
1471679.369,5,2,0,1,1,desktop,United States,1,0.2,0.0,0.2
1476788.701,9,3,1,2,1,mobile,India,1,0.2222222222222222,0.3333333333333333,0.1111111111111111
1477041.791,7,3,0,2,1,mobile,Australia,1,0.2857142857142857,0.0,0.14285714285714285
1478087.463,9,3,1,2,1,desktop,Turkey,1,0.2222222222222222,0.3333333333333333,0.1111111111111111
1484257.805,47,17,9,13,3,desktop,Italy,1,0.2765957446808511,0.5294117647058824,0.06382978723404255
1500715.323,6,2,1,0,1,mobile,Japan,1,0.0,0.5,0.16666666666666666
1509167.845,3,2,0,0,1,desktop,United States,1,0.0,0.0,0.3333333333333333
1513929.813,3,1,0,0,1,mobile,United States,1,0.0,0.0,0.3333333333333333
1529038.55,4,2,0,0,1,desktop,Singapore,1,0.0,0.0,0.25
1531493.197,6,2,1,1,1,mobile,India,1,0.16666666666666666,0.5,0.16666666666666666
1537178.999,3,1,0,0,1,desktop,United States,1,0.0,0.0,0.3333333333333333
1540124.214,75,25,6,15,2,desktop,United States,1,0.2,0.24,0.02666666666666667
1542823.535,6,2,1,1,1,mobile,Vietnam,1,0.16666666666666666,0.5,0.16666666666666666
1547083.147,9,2,2,3,1,desktop,India,1,0.3333333333333333,1.0,0.1111111111111111
1559967.177,5,2,1,0,1,mobile,South Korea,1,0.0,0.5,0.2
1560456.197,5,2,0,1,1,desktop,Japan,1,0.2,0.0,0.2
1563418.099,5,2,0,1,1,desktop,India,1,0.2,0.0,0.2
1565274.615,7,2,1,1,2,mobile,United States,1,0.14285714285714285,0.5,0.2857142857142857
1576774.981,8,3,2,1,1,mobile,United States,1,0.125,0.6666666666666666,0.125
1582409.594,18,6,2,5,1,mobile,United States,1,0.2777777777777778,0.3333333333333333,0.05555555555555555
1595098.642,2,0,0,1,1,desktop,United States,1,0.5,,0.5
1605268.117,9,3,0,2,0,desktop,United Kingdom,1,0.2222222222222222,0.0,0.0
1612442.077,54,13,8,12,2,mobile,Japan,1,0.2222222222222222,0.6153846153846154,0.037037037037037035
1617434.154,55,15,7,10,1,mobile,Singapore,1,0.18181818181818182,0.4666666666666667,0.01818181818181818
1618885.152,9,4,0,3,1,desktop,France,1,0.3333333333333333,0.0,0.1111111111111111
1630580.703,4,2,0,0,1,desktop,Canada,1,0.0,0.0,0.25
1641718.183,2,1,0,0,0,mobile,Greece,1,0.0,0.0,0.0
1650148.237,6,2,1,1,1,desktop,United States,1,0.16666666666666666,0.5,0.16666666666666666
1654333.572,17,6,2,4,1,desktop,Belgium,1,0.23529411764705882,0.3333333333333333,0.058823529411764705
1660287.89,13,6,2,4,0,desktop,Finland,1,0.3076923076923077,0.3333333333333333,0.0
1660952.342,6,2,0,1,2,desktop,Singapore,1,0.16666666666666666,0.0,0.3333333333333333
1676773.507,16,6,2,3,1,mobile,India,1,0.1875,0.3333333333333333,0.0625
1692826.632,5,2,0,1,1,desktop,Portugal,1,0.2,0.0,0.2
1699921.112,14,4,3,3,1,desktop,Italy,1,0.21428571428571427,0.75,0.07142857142857142
1701304.352,24,13,0,8,2,mobile,India,1,0.3333333333333333,0.0,0.08333333333333333
1718380.877,10,4,0,2,2,mobile,United States,1,0.2,0.0,0.2
1726235.005,5,2,0,1,1,desktop,Greece,1,0.2,0.0,0.2
1748531.098,5,2,0,1,1,mobile,United States,1,0.2,0.0,0.2
1751771.074,5,2,0,1,1,desktop,United States,1,0.2,0.0,0.2
1761484.97,11,3,2,2,1,mobile,India,1,0.18181818181818182,0.6666666666666666,0.09090909090909091
1767056.929,5,2,1,1,1,mobile,United States,1,0.2,0.5,0.2
1770895.063,6,2,1,1,1,desktop,United States,1,0.16666666666666666,0.5,0.16666666666666666
1792473.512,7,2,1,1,1,desktop,Hong Kong,1,0.14285714285714285,0.5,0.14285714285714285
1797971.641,5,2,1,0,1,mobile,United Kingdom,1,0.0,0.5,0.2
1805421.607,7,2,0,1,2,tablet,United States,1,0.14285714285714285,0.0,0.2857142857142857
1815131.603,5,2,0,1,1,desktop,India,1,0.2,0.0,0.2
1821357.84,9,5,0,2,2,desktop,United States,1,0.2222222222222222,0.0,0.2222222222222222
1829628.752,3,1,0,0,1,mobile,United States,1,0.0,0.0,0.3333333333333333
1834167.999,4,2,0,0,1,desktop,Malaysia,1,0.0,0.0,0.25
1837839.395,5,2,1,0,1,desktop,United States,1,0.0,0.5,0.2
1841769.63,16,5,2,3,1,desktop,United States,1,0.1875,0.4,0.0625
1846572.124,30,11,2,8,1,mobile,United States,1,0.26666666666666666,0.18181818181818182,0.03333333333333333
1847528.833,5,2,0,0,1,mobile,United States,1,0.0,0.0,0.2
1850987.799,5,2,0,1,1,desktop,United States,1,0.2,0.0,0.2
1853255.44,16,5,1,3,1,mobile,India,1,0.1875,0.2,0.0625
1854363.338,6,2,1,1,1,desktop,Canada,1,0.16666666666666666,0.5,0.16666666666666666
1856267.441,5,2,1,0,1,mobile,United States,1,0.0,0.5,0.2
1857091.554,7,3,0,2,1,mobile,Singapore,1,0.2857142857142857,0.0,0.14285714285714285
1868974.171,6,2,1,1,1,mobile,United States,1,0.16666666666666666,0.5,0.16666666666666666
1873830.404,5,2,0,1,1,desktop,United States,1,0.2,0.0,0.2
1878554.458,4,2,0,0,1,mobile,Germany,1,0.0,0.0,0.25
1908420.363,9,3,2,2,1,mobile,Israel,1,0.2222222222222222,0.6666666666666666,0.1111111111111111
1911435.758,8,4,1,0,2,desktop,Ireland,1,0.0,0.25,0.25
1912309.071,5,2,0,0,1,desktop,United States,1,0.0,0.0,0.2
1929272.963,5,2,1,0,1,mobile,United Arab Emirates,1,0.0,0.5,0.2
1942954.461,5,2,0,1,1,mobile,France,1,0.2,0.0,0.2
1953654.674,40,11,7,9,1,desktop,United States,1,0.225,0.6363636363636364,0.025
1955996.788,4,2,0,0,1,desktop,India,1,0.0,0.0,0.25
1967605.499,7,2,1,2,1,desktop,United States,1,0.2857142857142857,0.5,0.14285714285714285
1973757.872,54,16,10,12,1,desktop,United States,1,0.2222222222222222,0.625,0.018518518518518517
1975100.599,6,2,0,1,1,mobile,United States,1,0.16666666666666666,0.0,0.16666666666666666
1977361.218,4,2,0,0,1,mobile,United States,1,0.0,0.0,0.25
1977572.4,8,3,2,1,1,mobile,Canada,1,0.125,0.6666666666666666,0.125
1978339.343,8,3,0,0,1,mobile,Russia,1,0.0,0.0,0.125
1984695.856,5,2,0,1,1,desktop,Philippines,1,0.2,0.0,0.2
1986316.702,12,5,1,4,1,mobile,United States,1,0.3333333333333333,0.2,0.08333333333333333
1987772.47,15,5,4,3,1,mobile,China,1,0.2,0.8,0.06666666666666667
1995358.89,1,0,0,1,0,desktop,Canada,1,1.0,,0.0
2004244.546,5,2,0,1,1,desktop,United States,1,0.2,0.0,0.2
2016545.187,9,4,0,0,2,mobile,United States,1,0.0,0.0,0.2222222222222222
2026109.982,3,1,0,0,1,desktop,United States,1,0.0,0.0,0.3333333333333333
2031405.103,7,3,0,1,1,desktop,Argentina,1,0.14285714285714285,0.0,0.14285714285714285
2034779.087,5,2,0,1,1,desktop,United States,1,0.2,0.0,0.2
2038335.327,3,1,0,0,1,mobile,Japan,1,0.0,0.0,0.3333333333333333
2043839.423,26,10,3,6,1,mobile,Spain,1,0.23076923076923078,0.3,0.038461538461538464
2048043.522,6,2,1,1,1,desktop,Ukraine,1,0.16666666666666666,0.5,0.16666666666666666
2053087.845,7,2,0,1,2,desktop,United States,1,0.14285714285714285,0.0,0.2857142857142857
2060580.295,5,2,0,1,1,mobile,Japan,1,0.2,0.0,0.2
2066344.031,5,2,0,1,1,desktop,Canada,1,0.2,0.0,0.2
2080461.83,2,0,0,1,1,mobile,United States,1,0.5,,0.5
2085594.536,42,11,6,8,1,mobile,United States,1,0.19047619047619047,0.5454545454545454,0.023809523809523808
2088765.416,6,2,0,1,1,desktop,United States,1,0.16666666666666666,0.0,0.16666666666666666
2090217.193,4,2,0,0,1,mobile,United States,1,0.0,0.0,0.25
2090810.788,5,2,0,1,1,desktop,India,1,0.2,0.0,0.2
2100041.109,5,2,0,1,1,mobile,Israel,1,0.2,0.0,0.2
2104604.097,8,3,0,1,1,desktop,United States,1,0.125,0.0,0.125
2117665.742,3,1,0,0,1,desktop,United States,1,0.0,0.0,0.3333333333333333
2133850.255,33,10,3,12,1,desktop,United States,1,0.36363636363636365,0.3,0.030303030303030304
2137146.704,4,2,0,0,1,desktop,Italy,1,0.0,0.0,0.25
2141308.572,5,2,0,0,1,desktop,United States,1,0.0,0.0,0.2
2145342.004,5,2,0,1,1,mobile,Israel,1,0.2,0.0,0.2
2148160.334,6,2,1,1,1,mobile,Canada,1,0.16666666666666666,0.5,0.16666666666666666
2149547.91,18,6,2,3,3,desktop,Taiwan,1,0.16666666666666666,0.3333333333333333,0.16666666666666666
2156414.084,8,4,0,2,1,desktop,Turkey,1,0.25,0.0,0.125
2177092.982,6,2,0,1,1,desktop,United States,1,0.16666666666666666,0.0,0.16666666666666666
2216353.688,5,2,0,1,1,desktop,United States,1,0.2,0.0,0.2
2222067.002,5,2,0,0,1,desktop,Spain,1,0.0,0.0,0.2
2222599.28,6,2,1,1,1,desktop,Turkey,1,0.16666666666666666,0.5,0.16666666666666666
2230717.646,14,5,3,4,1,mobile,Germany,1,0.2857142857142857,0.6,0.07142857142857142
2232307.966,59,19,9,14,3,mobile,United States,1,0.23728813559322035,0.47368421052631576,0.05084745762711865
2247017.023,5,2,0,1,1,desktop,Spain,1,0.2,0.0,0.2
2247548.991,14,4,2,1,2,mobile,Italy,1,0.07142857142857142,0.5,0.14285714285714285
2261425.219,3,1,0,0,1,desktop,Russia,1,0.0,0.0,0.3333333333333333
2266398.249,9,4,1,2,1,mobile,Indonesia,1,0.2222222222222222,0.25,0.1111111111111111
2273797.011,6,2,1,1,1,desktop,South Korea,1,0.16666666666666666,0.5,0.16666666666666666
2284724.216,9,3,2,2,1,desktop,United States,1,0.2222222222222222,0.6666666666666666,0.1111111111111111
2291182.352,16,7,2,3,1,mobile,United Kingdom,1,0.1875,0.2857142857142857,0.0625
2295351.706,5,2,0,1,1,desktop,Canada,1,0.2,0.0,0.2
2297879.658,5,2,1,0,1,desktop,United States,1,0.0,0.5,0.2
2306891.588,3,1,0,0,1,desktop,India,1,0.0,0.0,0.3333333333333333
2310903.11,7,3,0,2,1,mobile,Indonesia,1,0.2857142857142857,0.0,0.14285714285714285
2311853.876,13,4,3,2,1,desktop,United States,1,0.15384615384615385,0.75,0.07692307692307693
2322379.178,8,2,1,1,0,desktop,Portugal,1,0.125,0.5,0.0
2344824.785,5,2,0,0,1,desktop,Sweden,1,0.0,0.0,0.2
2354610.539,2,1,0,0,1,desktop,United States,1,0.0,0.0,0.5
2360601.377,5,2,0,1,1,desktop,France,1,0.2,0.0,0.2
2367128.558,5,2,1,0,1,mobile,United States,1,0.0,0.5,0.2
2371520.952,5,2,0,0,1,desktop,United States,1,0.0,0.0,0.2
2380715.071,5,2,0,1,1,mobile,Russia,1,0.2,0.0,0.2
2382135.471,13,5,2,2,1,desktop,United States,1,0.15384615384615385,0.4,0.07692307692307693
2383287.959,16,7,1,6,1,desktop,Italy,1,0.375,0.14285714285714285,0.0625
2393966.238,2,0,0,1,1,desktop,Indonesia,1,0.5,,0.5
2397509.046,12,4,2,3,1,desktop,United States,1,0.25,0.5,0.08333333333333333
2398265.654,4,2,0,0,1,desktop,Netherlands,1,0.0,0.0,0.25
2406374.427,7,2,1,1,1,desktop,Italy,1,0.14285714285714285,0.5,0.14285714285714285
2407954.019,5,2,1,0,1,desktop,United States,1,0.0,0.5,0.2
2419992.99,5,2,1,1,1,desktop,United States,1,0.2,0.5,0.2
2429827.108,5,2,1,1,1,desktop,Egypt,1,0.2,0.5,0.2
2430318.655,33,14,4,11,1,desktop,Hong Kong,1,0.3333333333333333,0.2857142857142857,0.030303030303030304
2435531.135,6,2,1,1,1,mobile,Germany,1,0.16666666666666666,0.5,0.16666666666666666
2437263.498,5,2,0,1,1,desktop,Belarus,1,0.2,0.0,0.2
2437338.688,7,3,0,2,1,mobile,Turkey,1,0.2857142857142857,0.0,0.14285714285714285
2441713.042,9,4,2,2,1,desktop,United States,1,0.2222222222222222,0.5,0.1111111111111111
2443402.595,5,3,0,0,1,desktop,Ireland,1,0.0,0.0,0.2
2444850.287,5,2,0,0,1,desktop,United States,1,0.0,0.0,0.2
2450694.624,5,2,0,1,1,mobile,India,1,0.2,0.0,0.2
2458986.164,21,8,4,4,1,desktop,United States,1,0.19047619047619047,0.5,0.047619047619047616
2463835.691,6,2,1,1,1,desktop,Japan,1,0.16666666666666666,0.5,0.16666666666666666
2465265.724,105,30,8,26,1,mobile,United States,1,0.24761904761904763,0.26666666666666666,0.009523809523809525
2466509.369,12,3,2,1,1,desktop,India,1,0.08333333333333333,0.6666666666666666,0.08333333333333333
2476066.101,7,3,0,2,1,mobile,Netherlands,1,0.2857142857142857,0.0,0.14285714285714285
2481067.637,12,5,1,4,1,desktop,United Kingdom,1,0.3333333333333333,0.2,0.08333333333333333
2504135.31,25,10,2,8,1,mobile,Brazil,1,0.32,0.2,0.04
2504701.495,6,2,1,1,1,mobile,Japan,1,0.16666666666666666,0.5,0.16666666666666666
2515131.022,6,2,1,1,1,mobile,Turkey,1,0.16666666666666666,0.5,0.16666666666666666
2516606.627,5,2,0,1,1,desktop,India,1,0.2,0.0,0.2
2530657.028,2,0,0,1,1,desktop,Portugal,1,0.5,,0.5
2539820.73,5,2,0,1,1,mobile,Denmark,1,0.2,0.0,0.2
2540425.903,13,5,0,4,1,desktop,India,1,0.3076923076923077,0.0,0.07692307692307693
2546413.994,34,11,4,10,1,mobile,United States,1,0.29411764705882354,0.36363636363636365,0.029411764705882353
2550351.4,3,2,0,0,1,tablet,Canada,1,0.0,0.0,0.3333333333333333
2555862.597,8,3,1,1,1,desktop,United States,1,0.125,0.3333333333333333,0.125
2556230.801,5,2,0,0,1,mobile,United States,1,0.0,0.0,0.2
2563982.708,3,2,0,0,1,desktop,Singapore,1,0.0,0.0,0.3333333333333333
2564096.501,5,2,0,0,1,desktop,Myanmar (Burma),1,0.0,0.0,0.2
2567984.211,5,2,0,1,1,mobile,India,1,0.2,0.0,0.2
2572123.944,10,4,1,3,1,mobile,India,1,0.3,0.25,0.1
2587852.865,4,2,0,0,1,desktop,United States,1,0.0,0.0,0.25
2591540.62,3,1,0,0,1,desktop,Canada,1,0.0,0.0,0.3333333333333333
2602847.297,6,2,1,1,1,desktop,United States,1,0.16666666666666666,0.5,0.16666666666666666
2608895.333,17,6,1,4,1,mobile,United States,1,0.23529411764705882,0.16666666666666666,0.058823529411764705
2619611.866,9,3,2,1,1,desktop,France,1,0.1111111111111111,0.6666666666666666,0.1111111111111111
2620419.207,9,3,1,2,2,mobile,India,1,0.2222222222222222,0.3333333333333333,0.2222222222222222
2694860.466,6,2,1,1,1,desktop,United States,1,0.16666666666666666,0.5,0.16666666666666666
2701141.964,36,14,3,10,1,mobile,United States,1,0.2777777777777778,0.21428571428571427,0.027777777777777776
2708367.677,5,2,0,1,1,mobile,India,1,0.2,0.0,0.2
2717707.134,105,33,13,28,4,desktop,Ireland,1,0.26666666666666666,0.3939393939393939,0.0380952380952381
2718706.489,5,2,1,0,1,desktop,United States,1,0.0,0.5,0.2
2731138.974,4,2,1,0,1,tablet,India,1,0.0,0.5,0.25
2736335.398,5,2,0,1,1,mobile,Taiwan,1,0.2,0.0,0.2
2764978.588,12,4,0,3,1,mobile,Taiwan,1,0.25,0.0,0.08333333333333333
2773332.511,6,2,0,1,1,desktop,Egypt,1,0.16666666666666666,0.0,0.16666666666666666
2777647.968,6,3,0,1,1,desktop,United States,1,0.16666666666666666,0.0,0.16666666666666666
2801082.29,5,2,0,1,1,mobile,United States,1,0.2,0.0,0.2
2804401.214,5,2,0,2,0,desktop,United States,1,0.4,0.0,0.0
2809327.663,6,2,0,1,1,desktop,United States,1,0.16666666666666666,0.0,0.16666666666666666
2812241.994,5,2,0,1,1,desktop,United States,1,0.2,0.0,0.2
2816931.162,5,2,0,1,1,desktop,Singapore,1,0.2,0.0,0.2
2832450.441,5,2,0,1,1,desktop,United States,1,0.2,0.0,0.2
2841103.756,14,5,4,2,1,desktop,Thailand,1,0.14285714285714285,0.8,0.07142857142857142
2852999.205,6,2,0,1,1,desktop,United States,1,0.16666666666666666,0.0,0.16666666666666666
2875029.288,5,2,1,0,1,desktop,United States,1,0.0,0.5,0.2
2879421.548,12,3,2,2,1,mobile,United States,1,0.16666666666666666,0.6666666666666666,0.08333333333333333
2896649.285,4,2,0,0,1,desktop,United States,1,0.0,0.0,0.25
2902444.476,4,2,0,0,1,desktop,United States,1,0.0,0.0,0.25
2907315.805,8,3,1,2,1,mobile,United States,1,0.25,0.3333333333333333,0.125
2908149.172,6,2,0,1,1,desktop,Philippines,1,0.16666666666666666,0.0,0.16666666666666666
2909078.298,5,2,1,0,1,mobile,United States,1,0.0,0.5,0.2
2914238.063,6,2,0,1,1,mobile,India,1,0.16666666666666666,0.0,0.16666666666666666
2952527.554,18,7,4,5,1,mobile,Australia,1,0.2777777777777778,0.5714285714285714,0.05555555555555555
2965599.462,74,30,11,21,1,mobile,Hong Kong,1,0.28378378378378377,0.36666666666666664,0.013513513513513514
2970826.261,6,2,1,1,1,desktop,Malaysia,1,0.16666666666666666,0.5,0.16666666666666666
2971920.398,6,2,0,1,1,desktop,United States,1,0.16666666666666666,0.0,0.16666666666666666
2997048.144,36,14,4,8,2,desktop,United States,1,0.2222222222222222,0.2857142857142857,0.05555555555555555
3005376.185,5,2,0,1,1,desktop,United States,1,0.2,0.0,0.2
3019823.26,6,2,1,1,1,desktop,United States,1,0.16666666666666666,0.5,0.16666666666666666
3022593.664,3,1,0,0,1,desktop,Argentina,1,0.0,0.0,0.3333333333333333
3062195.282,6,2,1,1,1,mobile,Canada,1,0.16666666666666666,0.5,0.16666666666666666
3062941.244,5,2,1,0,1,desktop,United States,1,0.0,0.5,0.2
3071009.291,12,3,2,2,1,desktop,Singapore,1,0.16666666666666666,0.6666666666666666,0.08333333333333333
