age,job,marital,education,balance,housing,loan,contact,month,duration,campaign,pdays,previous,poutcome,y,y_binary,cluster,cluster_label
58,management,married,tertiary,2143,yes,no,unknown,may,261,1,-1,0,unknown,no,0,1,Mass Market
44,technician,single,secondary,29,yes,no,unknown,may,151,1,-1,0,unknown,no,0,1,Mass Market
33,entrepreneur,married,secondary,2,yes,yes,unknown,may,76,1,-1,0,unknown,no,0,1,Mass Market
47,blue-collar,married,unknown,1506,yes,no,unknown,may,92,1,-1,0,unknown,no,0,1,Mass Market
33,unknown,single,unknown,1,no,no,unknown,may,198,1,-1,0,unknown,no,0,1,Mass Market
35,management,married,tertiary,231,yes,no,unknown,may,139,1,-1,0,unknown,no,0,1,Mass Market
28,management,single,tertiary,447,yes,yes,unknown,may,217,1,-1,0,unknown,no,0,1,Mass Market
42,entrepreneur,divorced,tertiary,2,yes,no,unknown,may,380,1,-1,0,unknown,no,0,1,Mass Market
58,retired,married,primary,121,yes,no,unknown,may,50,1,-1,0,unknown,no,0,1,Mass Market
43,technician,single,secondary,593,yes,no,unknown,may,55,1,-1,0,unknown,no,0,1,Mass Market
41,admin.,divorced,secondary,270,yes,no,unknown,may,222,1,-1,0,unknown,no,0,1,Mass Market
29,admin.,single,secondary,390,yes,no,unknown,may,137,1,-1,0,unknown,no,0,1,Mass Market
53,technician,married,secondary,6,yes,no,unknown,may,517,1,-1,0,unknown,no,0,1,Mass Market
58,technician,married,unknown,71,yes,no,unknown,may,71,1,-1,0,unknown,no,0,1,Mass Market
57,services,married,secondary,162,yes,no,unknown,may,174,1,-1,0,unknown,no,0,1,Mass Market
51,retired,married,primary,229,yes,no,unknown,may,353,1,-1,0,unknown,no,0,1,Mass Market
45,admin.,single,unknown,13,yes,no,unknown,may,98,1,-1,0,unknown,no,0,1,Mass Market
57,blue-collar,married,primary,52,yes,no,unknown,may,38,1,-1,0,unknown,no,0,1,Mass Market
60,retired,married,primary,60,yes,no,unknown,may,219,1,-1,0,unknown,no,0,1,Mass Market
33,services,married,secondary,0,yes,no,unknown,may,54,1,-1,0,unknown,no,0,1,Mass Market
28,blue-collar,married,secondary,723,yes,yes,unknown,may,262,1,-1,0,unknown,no,0,1,Mass Market
56,management,married,tertiary,779,yes,no,unknown,may,164,1,-1,0,unknown,no,0,1,Mass Market
32,blue-collar,single,primary,23,yes,yes,unknown,may,160,1,-1,0,unknown,no,0,1,Mass Market
25,services,married,secondary,50,yes,no,unknown,may,342,1,-1,0,unknown,no,0,1,Mass Market
40,retired,married,primary,0,yes,yes,unknown,may,181,1,-1,0,unknown,no,0,1,Mass Market
44,admin.,married,secondary,-372,yes,no,unknown,may,172,1,-1,0,unknown,no,0,1,Mass Market
39,management,single,tertiary,255,yes,no,unknown,may,296,1,-1,0,unknown,no,0,1,Mass Market
52,entrepreneur,married,secondary,113,yes,yes,unknown,may,127,1,-1,0,unknown,no,0,1,Mass Market
46,management,single,secondary,-246,yes,no,unknown,may,255,2,-1,0,unknown,no,0,1,Mass Market
36,technician,single,secondary,265,yes,yes,unknown,may,348,1,-1,0,unknown,no,0,1,Mass Market
57,technician,married,secondary,839,no,yes,unknown,may,225,1,-1,0,unknown,no,0,1,Mass Market
49,management,married,tertiary,378,yes,no,unknown,may,230,1,-1,0,unknown,no,0,1,Mass Market
60,admin.,married,secondary,39,yes,yes,unknown,may,208,1,-1,0,unknown,no,0,1,Mass Market
59,blue-collar,married,secondary,0,yes,no,unknown,may,226,1,-1,0,unknown,no,0,1,Mass Market
51,management,married,tertiary,10635,yes,no,unknown,may,336,1,-1,0,unknown,no,0,1,Mass Market
